Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-09 00:00:00+01:00,649.2,0.06,7.48,2.27,25.62,34.74,115.13,RHM.DE,EQUITY,Rheinmetall AG,Industrials,Aerospace & Defense,https://www.rheinmetall.com
2025-01-09 00:00:00+01:00,28.54,-4.83,-3.45,-9.97,-11.72,-11.23,-28.52,RWE.DE,EQUITY,RWE Aktiengesellschaft,Utilities,Utilities - Diversified,https://www.group.rwe/en
2025-01-09 00:00:00+01:00,245.15,0.16,2.77,5.24,20.32,32.37,78.24,SAP.DE,EQUITY,SAP SE,Technology,Software - Application,https://www.sap.com
2025-01-09 00:00:00+01:00,234.0,0.78,9.35,9.35,-3.31,10.27,-27.57,SRT3.DE,EQUITY,Sartorius Aktiengesellschaft,Healthcare,Medical Instruments & Supplies,https://www.sartorius.com
2025-01-09 00:00:00+01:00,196.6,1.58,3.96,3.36,8.85,12.45,26.85,SIE.DE,EQUITY,Siemens Aktiengesellschaft,Industrials,Specialty Industrial Machinery,https://www.siemens.com
2025-01-09 00:00:00+01:00,51.9,-3.35,2.08,1.29,52.69,107.02,331.78,ENR.DE,EQUITY,Siemens Energy AG,Industrials,Specialty Industrial Machinery,https://www.siemens-energy.com
2025-01-09 00:00:00+01:00,51.06,-1.88,-0.31,-1.24,-3.11,-4.81,-1.73,SHL.DE,EQUITY,Siemens Healthineers AG,Healthcare,Medical Devices,https://www.siemens-healthineers.com
2025-01-09 00:00:00+01:00,98.98,0.26,-3.34,-3.2,-18.9,-13.74,0.7,SY1.DE,EQUITY,Symrise AG,Basic Materials,Specialty Chemicals,https://www.symrise.com
2025-01-09 00:00:00+01:00,89.7,0.43,2.68,11.62,-3.38,-15.18,-14.44,VOW3.DE,EQUITY,Volkswagen AG,Consumer Cyclical,Auto Manufacturers,https://www.volkswagen-group.com
2025-01-09 00:00:00+01:00,28.0,-2.27,-5.6,-10.86,-16.59,6.71,6.26,VNA.DE,EQUITY,Vonovia SE,Real Estate,Real Estate Services,https://www.vonovia.de
2025-01-09 00:00:00+01:00,30.26,-4.84,-6.08,-1.47,4.85,33.48,57.69,ZAL.DE,EQUITY,Zalando SE,Consumer Cyclical,Internet Retail,https://corporate.zalando.de
2025-01-08 00:00:00-05:00,419.58,-0.72,-5.64,-22.04,-16.72,-25.08,-28.42,ADBE,EQUITY,Adobe Inc.,Technology,Software - Infrastructure,https://www.adobe.com
2025-01-08 00:00:00-05:00,121.84,-4.31,0.87,-13.81,-25.18,-22.73,-18.37,AMD,EQUITY,"Advanced Micro Devices, Inc.",Technology,Semiconductors,https://www.amd.com
2025-01-08 00:00:00-05:00,130.8,-0.37,-0.46,-4.05,4.4,-13.74,-6.26,ABNB,EQUITY,"Airbnb, Inc.",Consumer Cyclical,Travel Services,https://www.airbnb.com
2025-01-08 00:00:00-05:00,195.39,-0.67,2.6,12.22,16.99,6.17,37.55,GOOG,EQUITY,Alphabet Inc.,Communication Services,Internet Content & Information,https://abc.xyz
2025-01-08 00:00:00-05:00,92.26,1.98,0.03,-5.33,-8.1,7.7,14.13,AEP,EQUITY,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,https://www.aep.com
2025-01-08 00:00:00-05:00,264.21,0.82,1.37,-3.69,-16.11,-13.77,-11.41,AMGN,EQUITY,Amgen Inc.,Healthcare,Drug Manufacturers - General,https://www.amgen.com
2025-01-08 00:00:00-05:00,220.44,2.12,3.76,3.18,-2.29,-1.3,18.14,ADI,EQUITY,"Analog Devices, Inc.",Technology,Semiconductors,https://www.analog.com
2025-01-08 00:00:00-05:00,343.47,2.27,1.82,-0.27,9.7,6.95,-2.96,ANSS,EQUITY,"ANSYS, Inc.",Technology,Software - Application,https://www.ansys.com
