No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
301,RRTL,RTL Group S.A.,4.28B,27.6,1.47%,6.29B
302,HAG,Hensoldt AG,4.15B,36.74,2.17%,2.09B
303,RZ8G,SNGN Romgaz SA,4.12B,1.0,-,1.57B
304,SHA0,Schaeffler AG,4.11B,4.32,-0.68%,16.28B
305,AFX,Carl Zeiss Meditec AG,4.07B,45.46,-2.28%,2.07B
306,TUI1,TUI AG,4.01B,7.88,-0.38%,23.17B
307,1SO,Samsonite International S.A.,3.99B,2.83,1.29%,3.22B
308,1SXP,SCHOTT Pharma AG & Co. KGaA,3.86B,26.14,1.87%,957.09M
309,KRN,Krones AG,3.85B,122.0,0.16%,5.16B
310,BC8,Bechtle AG,3.79B,29.7,-1.26%,6.38B
311,GIL,DMG MORI AKTIENGESELLSCHAFT,3.59B,45.5,-,2.32B
312,HAR,"Harley-Davidson, Inc.",3.57B,28.03,-5.46%,4.98B
313,FIE,Fielmann Group AG,3.45B,41.3,0.61%,2.16B
314,AG1,AUTO1 Group SE,3.42B,16.69,6.10%,5.90B
315,SIX2,Sixt SE,3.39B,79.15,-0.44%,4.06B
316,SIX3,Sixt SE,3.39B,58.2,-0.68%,4.06B
317,WCH,Wacker Chemie AG,3.36B,67.82,-2.73%,5.77B
318,FNTN,freenet AG,3.32B,28.0,1.67%,2.70B
319,HCL,Hecla Mining Company,3.24B,5.18,2.13%,754.00M
320,NDA,Aurubis AG,3.20B,73.8,0.55%,17.18B
321,NB2,Northern Data AG,3.16B,48.4,-2.12%,77.53M
322,IOS,IONOS Group SE,3.06B,22.2,1.14%,1.51B
323,BOSS,Hugo Boss AG,3.00B,43.26,-1.48%,4.23B
324,VAS,Voestalpine AG,2.99B,17.42,-0.23%,16.21B
325,WIB,Wienerberger AG,2.84B,25.26,-0.79%,4.33B
326,ECV,Encavis AG,2.81B,17.41,0.06%,457.94M
327,AT1,Aroundtown SA,2.78B,2.59,1.93%,1.48B
328,NDX1,Nordex SE,2.65B,11.19,0.63%,7.12B
329,UTDI,United Internet AG,2.60B,15.04,0.07%,6.30B
330,JUN3,Jungheinrich Aktiengesellschaft,2.57B,25.32,0.56%,5.45B
331,SAX,Ströer SE & Co. KGaA,2.55B,45.78,0.35%,2.03B
332,CDM1,"Coeur Mining, Inc.",2.49B,6.13,2.07%,906.15M
333,NVJP,Umicore SA,2.47B,10.28,-1.91%,15.72B
334,VVU,Vivendi SE,2.47B,2.49,1.71%,14.86B
335,RDC,Redcare Pharmacy NV,2.45B,124.1,2.99%,2.23B
